Sex,Age group,Total carers,Primary carers,Secondary carers
Males,Under 15,49.60%,,49.60%
Males,15–24,49.90%,41.20%,53.00%
Males,25–34,50.50%,33.30%,57.80%
Males,35–44,41.40%,20.00%,56.40%
Males,45–54,39.80%,23.40%,51.70%
Males,55–64,43.80%,33.20%,52.20%
Males,65–74,49.40%,43.90%,53.90%
Males,75+,55.90%,47.40%,62.50%
Males,Total,46.00%,32.40%,54.40%
Females,Under 15,50.40%,,50.40%
Females,15–24,50.10%,58.80%,47.00%
Females,25–34,49.50%,66.70%,42.20%
Females,35–44,58.60%,80.00%,43.60%
Females,45–54,60.20%,76.60%,48.30%
Females,55–64,56.20%,66.80%,47.80%
Females,65–74,50.60%,56.10%,46.10%
Females,75+,44.10%,52.60%,37.50%
Females,Total,54.00%,67.60%,45.60%